kind,nm_key,display,wb_display,supplier,month,vladimir_old_raw,vladimir_new_raw,delta_raw,planning_03,rounded_new_24,diff_03_minus_rounded
old_raw_ne_new_raw,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-05,294.0,271.0,-23.0,312.0,288,24.0
old_raw_ne_new_raw,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-06,329.0,294.0,-35.0,336.0,312,24.0
old_raw_ne_new_raw,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-07,353.0,329.0,-24.0,360.0,336,24.0
old_raw_ne_new_raw,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-08,412.0,353.0,-59.0,432.0,360,72.0
old_raw_ne_new_raw,железная_дорога2,железная_дорога2,OZN3436623261,железная_дорога2,2026-09,471.0,412.0,-59.0,480.0,432,48.0
old_raw_ne_new_raw,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-05,212.0,176.0,-36.0,216.0,192,24.0
old_raw_ne_new_raw,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-06,235.0,212.0,-23.0,252.0,216,36.0
old_raw_ne_new_raw,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-07,294.0,235.0,-59.0,306.0,240,66.0
old_raw_ne_new_raw,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-08,329.0,294.0,-35.0,342.0,312,30.0
old_raw_ne_new_raw,робот_вездеход2,робот_вездеход2,OZN3436629091,робот_вездеход2,2026-09,353.0,329.0,-24.0,360.0,336,24.0
old_raw_ne_new_raw,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-05,176.0,141.0,-35.0,192.0,144,48.0
old_raw_ne_new_raw,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-06,200.0,176.0,-24.0,216.0,192,24.0
old_raw_ne_new_raw,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-07,224.0,200.0,-24.0,240.0,216,24.0
old_raw_ne_new_raw,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-08,235.0,224.0,-11.0,240.0,240,0.0
old_raw_ne_new_raw,конструктор_робот2,конструктор_робот2,OZN3436632396,конструктор_робот2,2026-09,294.0,235.0,-59.0,312.0,240,72.0
old_raw_ne_new_raw,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-05,647.0,824.0,177.0,648.0,840,-192.0
old_raw_ne_new_raw,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-06,706.0,647.0,-59.0,712.0,648,64.0
old_raw_ne_new_raw,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-07,765.0,706.0,-59.0,768.0,720,48.0
old_raw_ne_new_raw,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-08,824.0,765.0,-59.0,824.0,768,56.0
old_raw_ne_new_raw,багги_черно_зеленый2,багги_черно_зеленый2,OZN3436645472,багги_черно_зеленый2,2026-09,1059.0,824.0,-235.0,1064.0,840,224.0
old_raw_ne_new_raw,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-05,153.0,12.0,-141.0,180.0,24,156.0
old_raw_ne_new_raw,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-06,165.0,153.0,-12.0,180.0,168,12.0
old_raw_ne_new_raw,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-07,176.0,165.0,-11.0,180.0,168,12.0
old_raw_ne_new_raw,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-08,294.0,176.0,-118.0,324.0,192,132.0
old_raw_ne_new_raw,машинкасуперкар_синяя,машинка суперкар_синяя,OZN3579741520,машинка суперкар_синяя,2026-09,471.0,294.0,-177.0,504.0,312,192.0
old_raw_ne_new_raw,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-05,153.0,12.0,-141.0,180.0,24,156.0
old_raw_ne_new_raw,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-06,165.0,153.0,-12.0,180.0,168,12.0
old_raw_ne_new_raw,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-07,176.0,165.0,-11.0,180.0,168,12.0
old_raw_ne_new_raw,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-08,294.0,176.0,-118.0,324.0,192,132.0
old_raw_ne_new_raw,машинкасуперкар_красная,машинка суперкар_красная,OZN3579745100,машинка суперкар_красная,2026-09,471.0,294.0,-177.0,504.0,312,192.0
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-05,141.0,12.0,-129.0,144.0,24,120.0
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-06,176.0,141.0,-35.0,176.0,144,32.0
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-07,235.0,176.0,-59.0,240.0,192,48.0
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-08,294.0,235.0,-59.0,304.0,240,64.0
old_raw_ne_new_raw,автотрек_дино,автотрек_дино,OZN3579748623,автотрек_дино,2026-09,471.0,294.0,-177.0,480.0,312,168.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-05,412.0,118.0,-294.0,432.0,120,312.0
old_raw_ne_new_raw,вертолет_радиоуп,вертолет_радиоуп,OZN3579767094,вертолет_радиоуп,2026-06,588.0,412.0,-176.0,624.0,432,192.0
